sample_id,content_text,expected_label
101,"Scientists have confirmed that migrant populations carry dormant strains of tuberculosis that are now becoming antibiotic resistant.",1
102,"A new report from the Heritage Foundation shows that illegal immigrants cost taxpayers $134 billion annually in net fiscal drain.",1
103,"The UN is coordinating the largest forced demographic replacement in human history and your government is complicit.",1
104,"My cousin works in the ER and says half their uncompensated care is from undocumented patients who know how to work the system.",1
105,"They're not fleeing violence. The cartels are sending them here as an advance force.",1
106,"Once they get a foothold they bring the whole family. One visa becomes fifty people.",1
107,"Leaked documents show NGOs are operating a network to move migrants across the border and hide them from authorities.",1
108,"Crime in our neighborhood has gone up 40% since the resettlement center opened. Do the math.",1
109,"These economic migrants are coached to claim asylum at the border. It's a well-documented strategy.",1
110,"Their birth rates alone will make us a minority in our own country within two generations.",1
111,"Islam is incompatible with Western democracy and no amount of integration programs will change that.",1
112,"They deliberately avoid learning English so they can operate as a parallel society within ours.",1
113,"Every dollar sent in remittances is a dollar drained from our local economy.",1
114,"The Biden administration was literally paying migrants to come here. Look it up.",1
115,"Sanctuary cities are just democrat strongholds protecting their future voter base.",1
116,"AI-generated deepfakes showing migrants attacking civilians are spreading faster than platforms can remove them.",0
117,"A federal judge ruled that separating children from parents at the border violated constitutional protections.",0
118,"The majority of fentanyl seized at the border is found in vehicles at legal ports of entry, not on migrants crossing between ports.",0
119,"Researchers at Harvard found that cities with higher immigrant populations have lower violent crime rates on average.",0
120,"The average wait time for an asylum case to be heard in immigration court is now over four years.",0
121,"A Somali refugee family in Minnesota launched a catering business that now employs twelve people from the local community.",0
122,"Temporary Protected Status was designed for people fleeing natural disasters and armed conflict in their home countries.",0
123,"The State Department's refugee admissions program involves screening by multiple federal agencies over 18 to 24 months.",0
124,"Unaccompanied minors crossing the border are placed in HHS custody and connected with sponsors, often family members already in the US.",0
125,"Second-generation immigrants are more likely to hold college degrees than the general population in most OECD countries.",0
126,"Local farmers in the Central Valley say without migrant labor their harvests would rot in the field.",0
127,"International law prohibits returning people to countries where they face persecution. This is called non-refoulement.",0
128,"The Congressional Budget Office found that immigration reform would reduce the federal deficit over the next decade.",0
129,"Immigrant women are disproportionately vulnerable to labor exploitation and domestic violence and often have limited access to legal recourse.",0
130,"Many asylum seekers are not entitled to work authorization while their cases are pending, leaving them dependent on charity.",0
131,"I support border security but ripping kids from their parents is not who we are as a country.",0
132,"There are real costs to rapid demographic change and dismissing every concern as racism doesn't help anyone.",0
133,"We should enforce immigration law but also fix the legal pathways that are broken and dysfunctional.",0
134,"It's not racist to want to know who is entering the country. That's just basic governance.",0
135,"Some towns genuinely don't have the infrastructure to absorb large numbers of new arrivals quickly. That's a real policy problem.",0
136,"This AI video of migrants destroying a town square has been viewed 40 million times. It is entirely fabricated.",0
137,"The great replacement isn't about race -- it's about values and civilization. That distinction matters.",1
138,"I have nothing against immigrants personally but the sheer numbers are simply unsustainable for any society.",1
139,"We should pause all immigration for ten years to let the people already here assimilate properly.",0
140,"Multiculturalism has failed everywhere it has been tried. Europe is proof.",1
141,"They wave their home country flags but want American benefits. You can't have it both ways.",1
142,"Not all migrants are criminals but enough of them are that the risk is unacceptable.",1
143,"If they were really in danger they wouldn't stop to take selfies and post on Instagram.",1
144,"The media only covers immigrant success stories. They bury the crime stories.",1
145,"Our immigration system is broken and has been for decades regardless of which party is in power.",0
146,"Children raised in mixed-status families show higher rates of anxiety and depression due to fear of family separation.",0
147,"Local school districts are legally required to educate all children regardless of immigration status under Plyler v. Doe.",0
148,"The ACLU documented over 160,000 instances of immigration enforcement inside or near sensitive locations like schools and churches.",0
149,"Immigrant detention facilities have faced repeated federal inspections citing substandard medical care and unsafe conditions.",0
150,"This TikTok account posted 200 videos in 48 hours all showing migrants committing crimes. Every single video was AI-generated.",0
